Q1,나는 사람들과 함께 있을 때 에너지가 생긴다.,R1,1,,
Q2,낯선 상황에서도 먼저 말을 거는 편이다.,R1,1,,
Q3,새로운 일보다 익숙한 일을 더 편하게 느낀다.,R1,1,,
Q4,계획을 세우는 것보다 즉흥적으로 행동하는 편이다.,R1,1,,
Q5,대화를 할 때 내가 말이 많은 편이다.,R1,1,,
Q6,혼자 있을 때보다 다른 사람과 있을 때 더 즐겁다.,R1,1,,
Q7,중요한 결정을 내릴 때 감정보다 논리를 더 중시한다.,R1,1,,
Q8,내 생각을 솔직하게 표현하는 편이다.,R1,1,,
Q9,안정적인 생활보다 도전적인 일을 선택한다.,R1,1,,
Q10,모임에서 주도적으로 분위기를 이끄는 편이다.,R1,1,,
Q11,나는 혼자 있는 시간이 필요하다고 느낀다.,R2,1,,
Q12,계획 없이 움직이는 것보다 사전에 계획하는 것을 선호한다.,R2,1,,
Q13,새로운 모임보다 익숙한 사람들과 있는 것이 편하다.,R2,1,,
Q14,즉흥적인 결정보다는 신중하게 생각한 후 결정한다.,R2,1,,
Q15,변화를 시도하기보다 안정적인 환경을 유지하고 싶다.,R2,1,,
Q16,감정보다 사실과 논리를 중시한다.,R2,1,,
Q17,나는 갈등을 피하고 조용히 상황을 관망하는 편이다.,R2,1,,
Q18,사람들 앞에서 주도적으로 나서기보다 뒤에서 돕는 역할이 더 편하다.,R2,1,,
Q19,불확실한 상황보다는 예측 가능한 상황을 선호한다.,R2,1,,
Q20,나는 내 감정을 솔직하게 드러내기보다 조절하는 편이다.,R2,1,,
,,,,,
R1,A형 (외향·도전·즉흥적 성향),,,"특징: 사교적, 활동적, 도전 선호, 즉흥적 의사결정.","설명: 사람들과 어울리며 에너지를 얻고, 새로운 상황에서도 두려움보다 기대가 크며, 도전에 적극적입니다."
R2,B형 (내향·안정·계획적 성향),,,"특징: 신중함, 안정 선호, 계획 중시, 논리적 판단.","설명: 혼자 있는 시간에서 에너지를 얻고, 변화보다는 안정된 환경을 선호하며, 의사결정을 할 때 체계적이고 논리적입니다."
